"Date Printed: Tuesday, April 12, 2022 10:24:43 PM"
Title: AIDS classifications | AIDS deaths | AIDS prevalence | Acute Viral Hepatitis B | Acute Viral Hepatitis C | Chlamydia | Congenital Syphilis | Early Non-Primary, Non-Secondary Syphilis | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | Gonorrhea | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Hepatitis  A | Knowledge of Status | Linkage to HIV care | PrEP coverage and number of persons prescribed | Primary and Secondary Syphilis | Receipt of HIV medical care | 2017 | 2018 | 2019 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older
Footnote(s): For all HIV surveillance data: Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag). Rates are not reported until 12-month reporting lag complete.
Prevalence: Prevalence data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Trends through 2019 should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for more information on death reporting by jurisdiction.
Death: Death data for the year 2019 are preliminary and based on death data received by CDC as of December 2020. Death data based on residence at death.
^ Jurisdiction with incomplete reporting of deaths for most recent year; relevant for HIV deaths, HIV prevalence, AIDS deaths, AIDS prevalence, knowledge of status, estimated HIV incidence, estimated HIV prevalence, and receipt of HIV medical care, and viral suppression indicators.
PrEP coverage, reported as a percentage, is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP.   Number prescribed, or “cases”, is defined as the number of persons aged ≥16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP.  “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Number prescribed are reported through September 2020. Data for which values are unknown were not reported; therefore, values may not sum to column total.
NA - Not applicable
 *Estimates with an RSE of 30%-50% should be used with caution because they do not meet the standard of reliability. Estimates with an RSE>50% are not shown.
 Linkage to care is based on newly diagnosed cases. Data for the years 2020 and 2021 are preliminary (subject to a 12-month reporting lag) and based on data received by CDC as of September 2021. See Technical notes for more details on data availability and stratifications.
 Receipt of care is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.
 Viral suppression is based on persons living with HIV. See Technical notes for more details on data availability and stratifications.


Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"Linkage to HIV care","2019","Oregon","41","173","NA","86.9"
"Linkage to HIV care","2018","Oregon","41","188","NA","82.1"
"Linkage to HIV care","2017","Oregon","41","160","NA","78.8"
"Knowledge of Status","2019","Oregon","41","7,227","NA","88.6 (82.6 - 95.4, 3.7)"
"Knowledge of Status","2018","Oregon","41","7,008","NA","88.3 (82.5 - 94.9, 3.6)"
"Knowledge of Status","2017","Oregon","41","6,822","NA","87.6 (81.9 - 94.0, 3.5)"
"Hepatitis  A","2019","Oregon","41","Data not available","Data not available","NA"
"Hepatitis  A","2018","Oregon","41","Data not available","Data not available","NA"
"Hepatitis  A","2017","Oregon","41","Data not available","Data not available","NA"
"HIV viral suppression","2019","Oregon","41","5,701","NA","80.5"
"HIV viral suppression","2018","Oregon","41","5,397","NA","79.1"
"HIV viral suppression","2017","Oregon","41","5,256","NA","78.9"
"HIV prevalence","2019","Oregon","41","7,280","202.4","NA"
"HIV prevalence","2018","Oregon","41","7,051","198.2","NA"
"HIV prevalence","2017","Oregon","41","6,863","195.1","NA"
"HIV diagnoses","2019","Oregon","41","199","5.5","NA"
"HIV diagnoses","2018","Oregon","41","230","6.5","NA"
"HIV diagnoses","2017","Oregon","41","203","5.8","NA"
"HIV deaths","2019","Oregon","41","122","3.4","NA"
"HIV deaths","2018","Oregon","41","105","3.0","NA"
"HIV deaths","2017","Oregon","41","116","3.3","NA"
"Gonorrhea","2019","Oregon","41","6,119","170.1","NA"
"Gonorrhea","2018","Oregon","41","5,907","166.0","NA"
"Gonorrhea","2017","Oregon","41","5,020","142.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Oregon","41","8,200 (7,600 - 8,700, 3.7)","226.9 (210.6 - 243.1)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Oregon","41","7,900 (7,400 - 8,500, 3.6)","223.1 (207.4 - 238.7)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Oregon","41","7,800 (7,300 - 8,300, 3.5)","221.5 (206.3 - 236.7)","NA"
"Estimated HIV incidence","2019","Oregon","41","200 (30 - 380, 44.1*)","5.7 (0.8 - 10.6)","NA"
"Estimated HIV incidence","2018","Oregon","41","190 (40 - 340, 39.5*)","5.4 (1.2 - 9.5)","NA"
"Estimated HIV incidence","2017","Oregon","41","210 (80 - 340, 31.9*)","5.9 (2.2 - 9.6)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Oregon","41","357","9.9","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Oregon","41","299","8.4","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Oregon","41","204","5.8","NA"
"Congenital Syphilis","2019","Oregon","41","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Oregon","41","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Oregon","41","Data not available","Data not available","NA"
"Chlamydia","2019","Oregon","41","19,257","535.3","NA"
"Chlamydia","2018","Oregon","41","19,194","539.4","NA"
"Chlamydia","2017","Oregon","41","18,614","529.2","NA"
"Acute Viral Hepatitis C","2019","Oregon","41","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Oregon","41","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Oregon","41","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Oregon","41","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Oregon","41","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Oregon","41","Data not available","Data not available","NA"
"AIDS prevalence","2019","Oregon","41","3,958","110.0","NA"
"AIDS prevalence","2018","Oregon","41","3,908","109.8","NA"
"AIDS prevalence","2017","Oregon","41","3,872","110.1","NA"
"AIDS deaths","2019","Oregon","41","99","2.8","NA"
"AIDS deaths","2018","Oregon","41","88","2.5","NA"
"AIDS deaths","2017","Oregon","41","86","2.4","NA"
"AIDS classifications","2019","Oregon","41","100","2.8","NA"
"AIDS classifications","2018","Oregon","41","98","2.8","NA"
"AIDS classifications","2017","Oregon","41","96","2.7","NA"
"Receipt of HIV medical care","2019","Pennsylvania","42","Data not available","NA","Data not available"
"Receipt of HIV medical care","2018","Pennsylvania","42","Data not available","NA","Data not available"
"Receipt of HIV medical care","2017","Pennsylvania","42","Data not available","NA","Data not available"
"Primary and Secondary Syphilis","2019","Pennsylvania","42","991","9.1","NA"
"Primary and Secondary Syphilis","2018","Pennsylvania","42","796","7.3","NA"
"Primary and Secondary Syphilis","2017","Pennsylvania","42","793","7.3","NA"
"PrEP coverage and number of persons prescribed","2019","Pennsylvania","42","10,113","NA","27.7"
"PrEP coverage and number of persons prescribed","2018","Pennsylvania","42","8,562","NA","23.5"
"PrEP coverage and number of persons prescribed","2017","Pennsylvania","42","6,108","NA","16.9"
"Linkage to HIV care","2019","Pennsylvania","42","Data not available","NA","Data not available"
"Linkage to HIV care","2018","Pennsylvania","42","Data not available","NA","Data not available"
"Linkage to HIV care","2017","Pennsylvania","42","Data not available","NA","Data not available"
"Knowledge of Status","2019","Pennsylvania","42","35,897","NA","89.3 (86.1 - 92.7, 1.9)"
"Knowledge of Status","2018","Pennsylvania","42","35,333","NA","88.7 (85.6 - 92.0, 1.8)"
"Knowledge of Status","2017","Pennsylvania","42","34,703","NA","88.5 (85.5 - 91.7, 1.8)"
"Hepatitis  A","2019","Pennsylvania","42","Data not available","Data not available","NA"
"Hepatitis  A","2018","Pennsylvania","42","Data not available","Data not available","NA"
"Hepatitis  A","2017","Pennsylvania","42","Data not available","Data not available","NA"
"HIV viral suppression","2019","Pennsylvania","42","Data not available","NA","Data not available"
"HIV viral suppression","2018","Pennsylvania","42","Data not available","NA","Data not available"
"HIV viral suppression","2017","Pennsylvania","42","Data not available","NA","Data not available"
"HIV prevalence","2019","Pennsylvania","42","36,494","333.9","NA"
"HIV prevalence","2018","Pennsylvania","42","35,918","328.9","NA"
"HIV prevalence","2017","Pennsylvania","42","35,268","323.6","NA"
"HIV diagnoses","2019","Pennsylvania","42","989","9.0","NA"
"HIV diagnoses","2018","Pennsylvania","42","1,023","9.4","NA"
"HIV diagnoses","2017","Pennsylvania","42","1,100","10.1","NA"
"HIV deaths","2019","Pennsylvania","42","577","5.3","NA"
"HIV deaths","2018","Pennsylvania","42","574","5.3","NA"
"HIV deaths","2017","Pennsylvania","42","650","6.0","NA"
"Gonorrhea","2019","Pennsylvania","42","16,042","146.8","NA"
"Gonorrhea","2018","Pennsylvania","42","15,869","145.3","NA"
"Gonorrhea","2017","Pennsylvania","42","15,236","139.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Pennsylvania","42","40,200 (38,700 - 41,700, 1.9)","367.8 (354.2 - 381.3)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Pennsylvania","42","39,800 (38,400 - 41,300, 1.8)","364.7 (351.6 - 377.9)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Pennsylvania","42","39,200 (37,900 - 40,600, 1.8)","360.0 (347.4 - 372.6)","NA"
"Estimated HIV incidence","2019","Pennsylvania","42","800 (450 - 1,100, 22.1)","7.3 (4.1 - 10.5)","NA"
"Estimated HIV incidence","2018","Pennsylvania","42","980 (590 - 1,400, 20.5)","9.0 (5.4 - 12.6)","NA"
"Estimated HIV incidence","2017","Pennsylvania","42","970 (610 - 1,300, 19.0)","8.9 (5.6 - 12.3)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Pennsylvania","42","1,138","10.4","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Pennsylvania","42","1,191","10.9","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Pennsylvania","42","1,100","10.1","NA"
"Congenital Syphilis","2019","Pennsylvania","42","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Pennsylvania","42","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Pennsylvania","42","Data not available","Data not available","NA"
"Chlamydia","2019","Pennsylvania","42","61,635","563.9","NA"
"Chlamydia","2018","Pennsylvania","42","59,280","542.9","NA"
"Chlamydia","2017","Pennsylvania","42","56,405","517.5","NA"
"Acute Viral Hepatitis C","2019","Pennsylvania","42","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Pennsylvania","42","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Pennsylvania","42","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Pennsylvania","42","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Pennsylvania","42","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Pennsylvania","42","Data not available","Data not available","NA"
"AIDS prevalence","2019","Pennsylvania","42","19,627","179.6","NA"
"AIDS prevalence","2018","Pennsylvania","42","19,463","178.2","NA"
"AIDS prevalence","2017","Pennsylvania","42","19,287","177.0","NA"
"AIDS deaths","2019","Pennsylvania","42","430","3.9","NA"
"AIDS deaths","2018","Pennsylvania","42","423","3.9","NA"
"AIDS deaths","2017","Pennsylvania","42","474","4.3","NA"
"AIDS classifications","2019","Pennsylvania","42","526","4.8","NA"
"AIDS classifications","2018","Pennsylvania","42","472","4.3","NA"
"AIDS classifications","2017","Pennsylvania","42","553","5.1","NA"
"Receipt of HIV medical care","2019","Rhode Island","44","2,206","NA","85.4"
"Receipt of HIV medical care","2018","Rhode Island","44","2,142","NA","85.0"
"Receipt of HIV medical care","2017","Rhode Island","44","2,063","NA","83.8"
"Primary and Secondary Syphilis","2019","Rhode Island","44","101","11.0","NA"
"Primary and Secondary Syphilis","2018","Rhode Island","44","96","10.5","NA"
"Primary and Secondary Syphilis","2017","Rhode Island","44","71","7.8","NA"
"PrEP coverage and number of persons prescribed","2019","Rhode Island","44","1,082","NA","27.9"
"PrEP coverage and number of persons prescribed","2018","Rhode Island","44","865","NA","22.3"
"PrEP coverage and number of persons prescribed","2017","Rhode Island","44","632","NA","14.5"
"Linkage to HIV care","2019","Rhode Island","44","65","NA","90.3"
"Linkage to HIV care","2018","Rhode Island","44","68","NA","90.7"
"Linkage to HIV care","2017","Rhode Island","44","77","NA","91.7"
"Knowledge of Status","2019","Rhode Island","44","2,605","NA","89.8 (80.0 - 100.0, 5.7)"
"Knowledge of Status","2018","Rhode Island","44","2,549","NA","89.5 (79.9 - 100.0, 5.7)"
"Knowledge of Status","2017","Rhode Island","44","2,497","NA","88.7 (79.3 - 100.0, 6.0)"
"Hepatitis  A","2019","Rhode Island","44","Data not available","Data not available","NA"
"Hepatitis  A","2018","Rhode Island","44","Data not available","Data not available","NA"
"Hepatitis  A","2017","Rhode Island","44","Data not available","Data not available","NA"
"HIV viral suppression","2019","Rhode Island","44","2,047","NA","79.2"
"HIV viral suppression","2018","Rhode Island","44","1,988","NA","78.9"
"HIV viral suppression","2017","Rhode Island","44","1,891","NA","76.8"
"HIV prevalence","2019","Rhode Island","44","2,653","289.7","NA"
"HIV prevalence","2018","Rhode Island","44","2,593","283.8","NA"
"HIV prevalence","2017","Rhode Island","44","2,541","279.1","NA"
"HIV diagnoses","2019","Rhode Island","44","72","7.9","NA"
"HIV diagnoses","2018","Rhode Island","44","75","8.2","NA"
"HIV diagnoses","2017","Rhode Island","44","85","9.3","NA"
"HIV deaths","2019","Rhode Island","44","40","4.4","NA"
"HIV deaths","2018","Rhode Island","44","41","4.5","NA"
"HIV deaths","2017","Rhode Island","44","34","3.7","NA"
"Gonorrhea","2019","Rhode Island","44","1,515","165.4","NA"
"Gonorrhea","2018","Rhode Island","44","1,334","146.0","NA"
"Gonorrhea","2017","Rhode Island","44","1,087","119.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Rhode Island","44","2,900 (2,600 - 3,300, 6.2)","316.9 (284.4 - 355.5)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Rhode Island","44","2,800 (2,500 - 3,200, 6.1)","311.8 (279.0 - 349.1)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Rhode Island","44","2,800 (2,500 - 3,100, 6.0)","309.4 (274.3 - 345.9)","NA"
"Estimated HIV incidence","2019","Rhode Island","44","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2018","Rhode Island","44","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2017","Rhode Island","44","80 (10 - 150, 47.2*)","8.3 (0.6 - 16.0)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","Rhode Island","44","109","11.9","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","Rhode Island","44","71","7.8","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","Rhode Island","44","70","7.7","NA"
"Congenital Syphilis","2019","Rhode Island","44","Data not available","Data not available","NA"
"Congenital Syphilis","2018","Rhode Island","44","Data not available","Data not available","NA"
"Congenital Syphilis","2017","Rhode Island","44","Data not available","Data not available","NA"
"Chlamydia","2019","Rhode Island","44","5,715","624.0","NA"
"Chlamydia","2018","Rhode Island","44","5,483","600.1","NA"
"Chlamydia","2017","Rhode Island","44","5,278","579.7","NA"
"Acute Viral Hepatitis C","2019","Rhode Island","44","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","Rhode Island","44","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","Rhode Island","44","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","Rhode Island","44","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","Rhode Island","44","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","Rhode Island","44","Data not available","Data not available","NA"
"AIDS prevalence","2019","Rhode Island","44","1,426","155.7","NA"
"AIDS prevalence","2018","Rhode Island","44","1,423","155.8","NA"
"AIDS prevalence","2017","Rhode Island","44","1,418","155.8","NA"
"AIDS deaths","2019","Rhode Island","44","34","3.7","NA"
"AIDS deaths","2018","Rhode Island","44","32","3.5","NA"
"AIDS deaths","2017","Rhode Island","44","28","3.1","NA"
"AIDS classifications","2019","Rhode Island","44","37","4.0","NA"
"AIDS classifications","2018","Rhode Island","44","33","3.6","NA"
"AIDS classifications","2017","Rhode Island","44","37","4.1","NA"
"Receipt of HIV medical care","2019","South Carolina","45","13,701","NA","81.0"
"Receipt of HIV medical care","2018","South Carolina","45","13,231","NA","79.2"
"Receipt of HIV medical care","2017","South Carolina","45","12,678","NA","78.5"
"Primary and Secondary Syphilis","2019","South Carolina","45","516","11.9","NA"
"Primary and Secondary Syphilis","2018","South Carolina","45","384","9.0","NA"
"Primary and Secondary Syphilis","2017","South Carolina","45","361","8.5","NA"
"PrEP coverage and number of persons prescribed","2019","South Carolina","45","1,728","NA","16.6"
"PrEP coverage and number of persons prescribed","2018","South Carolina","45","1,250","NA","12.0"
"PrEP coverage and number of persons prescribed","2017","South Carolina","45","711","NA","6.8"
"Linkage to HIV care","2019","South Carolina","45","596","NA","87.6"
"Linkage to HIV care","2018","South Carolina","45","617","NA","86.3"
"Linkage to HIV care","2017","South Carolina","45","603","NA","85.0"
"Knowledge of Status","2019","South Carolina","45","17,393","NA","83.5 (79.4 - 88.0, 2.6)"
"Knowledge of Status","2018","South Carolina","45","16,902","NA","83.2 (79.3 - 87.5, 2.5)"
"Knowledge of Status","2017","South Carolina","45","16,466","NA","82.8 (79.0 - 86.9, 2.4)"
"Hepatitis  A","2019","South Carolina","45","Data not available","Data not available","NA"
"Hepatitis  A","2018","South Carolina","45","Data not available","Data not available","NA"
"Hepatitis  A","2017","South Carolina","45","Data not available","Data not available","NA"
"HIV viral suppression","2019","South Carolina","45","11,967","NA","70.7"
"HIV viral suppression","2018","South Carolina","45","11,401","NA","68.2"
"HIV viral suppression","2017","South Carolina","45","10,722","NA","66.4"
"HIV diagnoses","2019","South Carolina","45","680","15.6","NA"
"HIV diagnoses","2018","South Carolina","45","712","16.6","NA"
"HIV diagnoses","2017","South Carolina","45","706","16.7","NA"
"Gonorrhea","2019","South Carolina","45","14,151","325.0","NA"
"Gonorrhea","2018","South Carolina","45","13,781","321.2","NA"
"Gonorrhea","2017","South Carolina","45","12,594","297.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","South Carolina","45","20,800 (19,800 - 21,900, 2.6)","478.5 (454.1 - 502.9)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","South Carolina","45","20,300 (19,300 - 21,300, 2.5)","473.4 (450.1 - 496.7)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","South Carolina","45","19,900 (18,900 - 20,800, 2.4)","470.3 (447.9 - 492.8)","NA"
"Estimated HIV incidence","2019","South Carolina","45","710 (350 - 1,100, 25.5)","16.3 (8.1 - 24.5)","NA"
"Estimated HIV incidence","2018","South Carolina","45","690 (380 - 1,000, 22.8)","16.1 (8.9 - 23.2)","NA"
"Estimated HIV incidence","2017","South Carolina","45","700 (430 - 960, 19.3)","16.5 (10.2 - 22.7)","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","South Carolina","45","681","15.6","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Carolina","45","732","17.1","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","South Carolina","45","687","16.2","NA"
"Congenital Syphilis","2019","South Carolina","45","Data not available","Data not available","NA"
"Congenital Syphilis","2018","South Carolina","45","Data not available","Data not available","NA"
"Congenital Syphilis","2017","South Carolina","45","Data not available","Data not available","NA"
"Chlamydia","2019","South Carolina","45","35,897","824.5","NA"
"Chlamydia","2018","South Carolina","45","33,856","789.2","NA"
"Chlamydia","2017","South Carolina","45","32,166","760.4","NA"
"Acute Viral Hepatitis C","2019","South Carolina","45","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","South Carolina","45","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","South Carolina","45","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","South Carolina","45","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","South Carolina","45","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","South Carolina","45","Data not available","Data not available","NA"
"AIDS classifications","2019","South Carolina","45","320","7.4","NA"
"AIDS classifications","2018","South Carolina","45","369","8.6","NA"
"AIDS classifications","2017","South Carolina","45","409","9.7","NA"
"HIV prevalence","2019","South Carolina^","45","17,589","404.0","NA"
"HIV prevalence","2018","South Carolina^","45","17,083","398.2","NA"
"HIV prevalence","2017","South Carolina^","45","16,640","393.4","NA"
"HIV deaths","2019","South Carolina^","45","299","6.9","NA"
"HIV deaths","2018","South Carolina^","45","319","7.4","NA"
"HIV deaths","2017","South Carolina^","45","339","8.0","NA"
"AIDS prevalence","2019","South Carolina^","45","9,217","211.7","NA"
"AIDS prevalence","2018","South Carolina^","45","9,057","211.1","NA"
"AIDS prevalence","2017","South Carolina^","45","8,925","211.0","NA"
"AIDS deaths","2019","South Carolina^","45","224","5.1","NA"
"AIDS deaths","2018","South Carolina^","45","242","5.6","NA"
"AIDS deaths","2017","South Carolina^","45","264","6.2","NA"
"Receipt of HIV medical care","2019","South Dakota","46","506","NA","81.9"
"Receipt of HIV medical care","2018","South Dakota","46","483","NA","83.1"
"Receipt of HIV medical care","2017","South Dakota","46","361","NA","67.9"
"Primary and Secondary Syphilis","2019","South Dakota","46","48","6.6","NA"
"Primary and Secondary Syphilis","2018","South Dakota","46","41","5.7","NA"
"Primary and Secondary Syphilis","2017","South Dakota","46","33","4.6","NA"
"PrEP coverage and number of persons prescribed","2019","South Dakota","46","148","NA","16.3"
"PrEP coverage and number of persons prescribed","2018","South Dakota","46","99","NA","10.9"
"PrEP coverage and number of persons prescribed","2017","South Dakota","46","54","NA","5.4"
"Linkage to HIV care","2019","South Dakota","46","26","NA","78.8"
"Linkage to HIV care","2018","South Dakota","46","26","NA","89.7"
"Linkage to HIV care","2017","South Dakota","46","34","NA","87.2"
"Knowledge of Status","2019","South Dakota","46","638","NA","78.6 (62.6 - 100.0, 12.1)"
"Knowledge of Status","2018","South Dakota","46","603","NA","77.0 (61.7 - 100.0, 12.7)"
"Knowledge of Status","2017","South Dakota","46","567","NA","76.5 (61.5 - 100.0, 12.8)"
"Hepatitis  A","2019","South Dakota","46","Data not available","Data not available","NA"
"Hepatitis  A","2018","South Dakota","46","Data not available","Data not available","NA"
"Hepatitis  A","2017","South Dakota","46","Data not available","Data not available","NA"
"HIV viral suppression","2019","South Dakota","46","321","NA","51.9"
"HIV viral suppression","2018","South Dakota","46","338","NA","58.2"
"HIV viral suppression","2017","South Dakota","46","296","NA","55.6"
"HIV prevalence","2019","South Dakota","46","652","89.8","NA"
"HIV prevalence","2018","South Dakota","46","612","85.1","NA"
"HIV prevalence","2017","South Dakota","46","575","80.6","NA"
"HIV diagnoses","2019","South Dakota","46","33","4.5","NA"
"HIV diagnoses","2018","South Dakota","46","29","4.0","NA"
"HIV diagnoses","2017","South Dakota","46","39","5.5","NA"
"HIV deaths","2019","South Dakota","46","9","1.2","NA"
"HIV deaths","2018","South Dakota","46","13","1.8","NA"
"HIV deaths","2017","South Dakota","46","9","1.3","NA"
"Gonorrhea","2019","South Dakota","46","2,166","298.5","NA"
"Gonorrhea","2018","South Dakota","46","1,689","234.7","NA"
"Gonorrhea","2017","South Dakota","46","1,287","180.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","South Dakota","46","810 (640 - 1,000, 13.0)","111.9 (87.9 - 140.4)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","South Dakota","46","780 (600 - 980, 12.7)","108.8 (83.8 - 135.8)","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","South Dakota","46","740 (570 - 920, 12.5)","103.8 (79.5 - 129.2)","NA"
"Estimated HIV incidence","2019","South Dakota","46","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2018","South Dakota","46","Data suppressed","Data suppressed","NA"
"Estimated HIV incidence","2017","South Dakota","46","Data suppressed","Data suppressed","NA"
"Early Non-Primary, Non-Secondary Syphilis","2019","South Dakota","46","8","1.1","NA"
"Early Non-Primary, Non-Secondary Syphilis","2018","South Dakota","46","9","1.3","NA"
"Early Non-Primary, Non-Secondary Syphilis","2017","South Dakota","46","19","2.7","NA"
"Congenital Syphilis","2019","South Dakota","46","Data not available","Data not available","NA"
"Congenital Syphilis","2018","South Dakota","46","Data not available","Data not available","NA"
"Congenital Syphilis","2017","South Dakota","46","Data not available","Data not available","NA"
"Chlamydia","2019","South Dakota","46","4,543","626.0","NA"
"Chlamydia","2018","South Dakota","46","4,428","615.4","NA"
"Chlamydia","2017","South Dakota","46","4,432","621.1","NA"
"Acute Viral Hepatitis C","2019","South Dakota","46","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2018","South Dakota","46","Data not available","Data not available","NA"
"Acute Viral Hepatitis C","2017","South Dakota","46","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2019","South Dakota","46","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2018","South Dakota","46","Data not available","Data not available","NA"
"Acute Viral Hepatitis B","2017","South Dakota","46","Data not available","Data not available","NA"
"AIDS prevalence","2019","South Dakota","46","295","40.6","NA"
"AIDS prevalence","2018","South Dakota","46","276","38.4","NA"
"AIDS prevalence","2017","South Dakota","46","259","36.3","NA"
"AIDS deaths","2019","South Dakota","46","8","1.1","NA"
"AIDS deaths","2018","South Dakota","46","11","1.5","NA"
"AIDS deaths","2017","South Dakota","46","3","0.4","NA"
"AIDS classifications","2019","South Dakota","46","19","2.6","NA"
"AIDS classifications","2018","South Dakota","46","12","1.7","NA"
"AIDS classifications","2017","South Dakota","46","13","1.8","NA"
"Receipt of HIV medical care","2019","Tennessee","47","13,929","NA","82.1"
"Receipt of HIV medical care","2018","Tennessee","47","13,354","NA","80.4"
"Receipt of HIV medical care","2017","Tennessee","47","12,783","NA","80.0"
"Primary and Secondary Syphilis","2019","Tennessee","47","676","11.8","NA"
"Primary and Secondary Syphilis","2018","Tennessee","47","553","9.7","NA"
"Primary and Secondary Syphilis","2017","Tennessee","47","488","8.7","NA"
"PrEP coverage and number of persons prescribed","2019","Tennessee","47","3,886","NA","17.3"
"PrEP coverage and number of persons prescribed","2018","Tennessee","47","2,612","NA","11.6"
"PrEP coverage and number of persons prescribed","2017","Tennessee","47","1,715","NA","7.5"
"Linkage to HIV care","2019","Tennessee","47","534","NA","69.1"
"Linkage to HIV care","2018","Tennessee","47","559","NA","73.4"
"Linkage to HIV care","2017","Tennessee","47","438","NA","60.8"
"Knowledge of Status","2019","Tennessee","47","17,491","NA","86.4 (82.4 - 90.8, 2.5)"
"Knowledge of Status","2018","Tennessee","47","17,058","NA","85.8 (81.9 - 90.1, 2.4)"
"Knowledge of Status","2017","Tennessee","47","16,461","NA","85.0 (81.2 - 89.2, 2.4)"
"Hepatitis  A","2019","Tennessee","47","Data not available","Data not available","NA"
"Hepatitis  A","2018","Tennessee","47","Data not available","Data not available","NA"
